Date,Total sources,Sources with issues,Correct sources
2019-09-20,5,0,5
2019-09-23,5,0,5
2019-09-24,5,0,5
2019-09-25,5,0,5
2019-09-26,5,0,5
2019-09-27,5,0,5
2019-09-30,5,0,5
2019-10-01,5,0,5
2019-10-03,5,0,5
2019-10-04,5,0,5
2019-10-07,5,0,5
2019-10-08,5,0,5
2019-10-09,5,0,5
2019-10-10,5,0,5
2019-10-11,5,0,5
2019-10-14,5,0,5
2019-10-15,5,0,5
2019-10-18,5,0,5
2019-10-21,5,0,5
2019-10-22,5,0,5
2019-10-23,5,0,5
2019-10-24,5,0,5
2019-10-25,5,0,5
2019-10-28,5,0,5
2019-10-29,5,0,5
2019-10-30,5,0,5
2019-10-31,5,0,5
2019-11-01,5,0,5
2019-11-04,5,0,5
2019-11-05,5,0,5
2019-11-06,5,0,5
2019-11-07,5,0,5
2019-11-08,5,0,5
2019-11-11,5,0,5
2019-11-12,5,0,5
2019-11-13,5,0,5
2019-11-14,5,0,5
2019-11-15,5,0,5
2019-11-18,5,0,5
2019-11-19,5,0,5
2019-11-20,5,0,5
2019-11-21,5,0,5
2019-11-22,5,0,5
2019-11-25,5,0,5
2019-11-26,5,0,5
2019-11-27,5,0,5
2019-11-28,5,0,5
2019-11-29,5,0,5
2019-12-02,5,0,5
2019-12-03,5,0,5
2019-12-05,5,0,5
2019-12-06,5,0,5
2019-12-09,5,0,5
2019-12-10,5,0,5
2019-12-11,5,0,5
2019-12-12,5,0,5
2019-12-13,5,0,5
2019-12-16,5,0,5
2019-12-17,5,0,5
2019-12-18,5,0,5
2019-12-19,5,0,5
2019-12-20,5,0,5
2019-12-23,5,0,5
2019-12-24,5,0,5
2019-12-25,5,0,5
2019-12-30,5,0,5
2019-12-31,5,0,5
2020-01-01,5,0,5
2020-01-02,5,0,5
2020-01-03,5,0,5
2020-01-06,5,0,5
2020-01-07,5,0,5
2020-01-08,5,0,5
2020-01-09,5,0,5
2020-01-10,5,0,5
2020-01-13,5,0,5
2020-01-14,5,0,5
2020-01-15,5,0,5
2020-01-16,5,0,5
2020-01-17,5,0,5
2020-01-20,5,0,5
2020-01-21,5,0,5
2020-01-22,5,0,5
2020-01-23,5,0,5
2020-01-24,5,0,5
2020-01-27,5,0,5
2020-01-28,5,0,5
2020-01-29,5,0,5
2020-01-30,5,0,5
2020-01-31,5,0,5
2020-02-03,5,0,5
2020-02-04,5,0,5
2020-02-05,5,0,5
2020-02-07,5,0,5
