Date,Total sources,Sources with issues,Correct sources
2019-09-23,9,0,9
2019-09-24,9,0,9
2019-09-25,9,0,9
2019-09-26,9,0,9
2019-09-27,9,0,9
2019-09-30,9,0,9
2019-10-01,9,0,9
2019-10-03,9,0,9
2019-10-04,9,0,9
2019-10-07,9,0,9
2019-10-08,9,0,9
2019-10-09,9,0,9
2019-10-10,9,0,9
2019-10-11,9,0,9
2019-10-14,9,0,9
2019-10-15,9,0,9
2019-10-18,9,0,9
2019-10-21,9,0,9
2019-10-22,9,0,9
2019-10-23,9,0,9
2019-10-24,9,0,9
2019-10-25,9,0,9
2019-10-28,9,0,9
2019-10-29,9,0,9
2019-10-30,9,0,9
2019-10-31,9,0,9
2019-11-01,9,0,9
2019-11-04,9,0,9
2019-11-05,9,0,9
2019-11-06,9,0,9
2019-11-07,9,0,9
2019-11-08,9,0,9
2019-11-11,9,0,9
2019-11-12,9,0,9
2019-11-13,9,0,9
2019-11-14,9,0,9
2019-11-15,9,0,9
2019-11-18,9,0,9
2019-11-19,9,0,9
2019-11-20,9,0,9
2019-11-21,9,0,9
2019-11-22,9,0,9
2019-11-25,9,0,9
2019-11-26,9,0,9
2019-11-27,9,0,9
2019-11-28,9,0,9
2019-11-29,9,0,9
2019-12-02,9,0,9
2019-12-03,9,0,9
2019-12-05,9,0,9
2019-12-06,9,0,9
2019-12-09,9,0,9
2019-12-10,9,0,9
2019-12-11,9,0,9
2019-12-12,9,0,9
2019-12-13,9,0,9
2019-12-16,9,0,9
2019-12-17,9,0,9
2019-12-18,9,0,9
2019-12-19,9,0,9
2019-12-20,9,0,9
2019-12-23,9,0,9
2019-12-24,9,0,9
2019-12-25,9,0,9
2019-12-30,9,0,9
2019-12-31,9,0,9
2020-01-01,9,0,9
2020-01-02,9,0,9
2020-01-03,9,0,9
2020-01-06,9,0,9
2020-01-07,9,0,9
2020-01-08,9,0,9
2020-01-09,9,0,9
2020-01-10,9,0,9
2020-01-13,9,0,9
2020-01-14,9,0,9
2020-01-15,9,0,9
2020-01-16,9,0,9
2020-01-17,9,0,9
2020-01-20,9,0,9
2020-01-21,9,0,9
2020-01-22,9,0,9
2020-01-23,9,0,9
2020-01-24,9,0,9
2020-01-27,9,0,9
2020-01-28,9,0,9
2020-01-29,9,0,9
2020-01-30,9,0,9
2020-01-31,9,0,9
2020-02-03,9,0,9
2020-02-04,9,0,9
2020-02-05,9,0,9
2020-02-07,9,0,9
