Date,Total sources,Sources with issues,Correct sources
2018-11-23,6,2,4
2018-11-26,6,2,4
2018-11-27,6,2,4
2018-11-28,6,2,4
2018-11-29,6,2,4
2018-11-30,7,3,4
2018-12-03,15,0,15
2018-12-04,15,0,15
2018-12-05,15,0,15
2018-12-06,15,0,15
2018-12-07,15,0,15
2018-12-10,15,0,15
2018-12-11,15,0,15
2018-12-12,15,0,15
2018-12-13,15,0,15
2018-12-14,15,0,15
2018-12-18,15,0,15
2018-12-19,15,0,15
2018-12-20,15,0,15
2018-12-21,15,0,15
2019-01-01,15,0,15
2019-01-02,15,0,15
2019-01-03,15,0,15
2019-01-04,15,0,15
2019-01-07,15,0,15
2019-01-08,15,0,15
2019-01-09,15,0,15
2019-01-10,15,0,15
2019-01-11,15,0,15
2019-01-14,15,0,15
2019-01-15,15,0,15
2019-01-16,15,0,15
2019-01-17,15,0,15
2019-01-18,15,0,15
2019-01-21,15,0,15
2019-01-22,15,0,15
2019-01-23,15,0,15
2019-01-24,15,0,15
2019-01-25,15,0,15
2019-01-28,15,0,15
2019-01-29,15,0,15
2019-01-30,15,0,15
2019-01-31,15,0,15
2019-02-01,15,0,15
2019-02-04,15,0,15
2019-02-05,15,0,15
2019-02-06,15,0,15
2019-02-07,15,0,15
2019-02-08,15,0,15
2019-02-18,15,0,15
2019-02-19,15,0,15
2019-02-20,15,0,15
2019-02-21,15,0,15
2019-02-22,15,0,15
2019-02-25,15,0,15
2019-02-26,15,0,15
2019-02-27,15,0,15
2019-02-28,15,0,15
2019-03-01,15,0,15
2019-03-04,15,0,15
2019-03-05,15,0,15
2019-03-06,15,0,15
2019-03-07,15,0,15
2019-03-08,15,0,15
2019-03-11,15,0,15
2019-03-12,15,0,15
2019-03-13,15,0,15
2019-03-14,15,0,15
2019-03-15,15,0,15
