Date,Total sources,Sources with issues,Correct sources
2018-07-17,17,2,15
2018-07-18,17,2,15
2018-07-19,17,2,15
2018-07-20,17,3,14
2018-07-23,17,3,14
2018-07-24,17,3,14
2018-07-25,17,3,14
2018-07-26,17,3,14
2018-07-27,17,3,14
2018-07-30,17,3,14
2018-07-31,17,3,14
2018-08-01,17,3,14
2018-08-02,17,3,14
2018-08-03,17,3,14
2018-08-06,18,4,14
2018-08-07,18,4,14
2018-08-08,18,4,14
2018-08-09,18,4,14
2018-08-10,18,3,15
2018-08-13,23,3,20
2018-08-14,23,3,20
2018-08-15,23,3,20
2018-08-17,23,3,20
2018-08-20,23,3,20
2018-08-21,23,3,20
2018-08-22,23,3,20
2018-08-22,23,3,20
2018-08-23,23,3,20
2018-08-24,23,3,20
2018-08-27,23,4,19
2018-08-28,23,4,19
2018-08-29,23,4,19
2018-08-30,23,4,19
2018-08-31,23,4,19
2018-09-03,23,4,19
2018-09-04,23,4,19
2018-09-05,23,4,19
2018-09-06,23,0,23
2018-09-06,23,0,23
2018-09-07,23,0,23
2018-09-10,23,0,23
2018-09-11,23,0,23
2018-09-12,23,0,23
2018-09-13,23,0,23
2018-09-14,23,0,23
2018-09-17,23,0,23
2018-09-19,23,0,23
2018-09-20,23,0,23
2018-09-21,23,0,23
2018-09-21,23,0,23
2018-09-24,23,0,23
2018-09-25,23,0,23
2018-09-26,23,0,23
2018-09-27,23,0,23
2018-09-28,23,0,23
2018-10-01,23,0,23
2018-10-02,23,0,23
2018-10-03,23,0,23
2018-10-04,23,0,23
2018-10-05,23,0,23
2018-10-08,23,0,23
2018-10-09,23,0,23
2018-10-10,23,0,23
2018-10-11,23,0,23
2018-10-12,23,0,23
2018-10-15,23,0,23
2018-10-16,23,0,23
2018-10-17,23,0,23
2018-10-18,23,0,23
2018-10-19,23,0,23
2018-10-22,23,0,23
2018-10-23,23,0,23
2018-10-24,23,0,23
2018-10-25,23,0,23
2018-10-26,23,0,23
2018-10-31,23,0,23
2018-11-01,23,0,23
2018-11-02,23,0,23
2018-11-05,23,0,23
2018-11-06,23,0,23
2018-11-07,23,0,23
2018-11-08,23,0,23
2018-11-09,23,0,23
2018-11-12,23,0,23
2018-11-13,23,0,23
2018-11-14,23,0,23
2018-11-15,23,0,23
2018-11-16,23,0,23
2018-11-19,23,0,23
2018-11-20,23,0,23
2018-11-21,23,0,23
2018-11-22,23,0,23
2018-11-23,23,0,23
2018-11-26,23,0,23
2018-11-27,23,0,23
2018-11-28,23,0,23
2018-11-29,23,0,23
2018-11-30,23,0,23
2018-12-03,23,0,23
2018-12-04,23,0,23
2018-12-05,23,0,23
2018-12-06,23,0,23
2018-12-07,23,0,23
2018-12-10,23,0,23
2018-12-11,23,0,23
2018-12-12,23,0,23
2018-12-13,23,0,23
2018-12-14,23,0,23
