Date,Total sources,Sources with issues,Correct sources
2018-11-23,0,0,0
2018-11-26,0,0,0
2018-11-27,0,0,0
2018-11-28,12,0,12
2018-11-29,12,0,12
2018-11-30,12,0,12
2018-12-03,12,0,12
2018-12-04,12,0,12
2018-12-05,12,0,12
2018-12-06,12,0,12
2018-12-07,12,0,12
2018-12-10,12,0,12
2018-12-11,12,0,12
2018-12-12,12,0,12
2018-12-13,12,0,12
2018-12-14,12,0,12
2018-12-18,12,0,12
2018-12-19,12,0,12
2018-12-20,12,0,12
2018-12-21,12,0,12
2019-01-01,12,0,12
2019-01-02,12,0,12
2019-01-03,12,0,12
2019-01-04,12,0,12
2019-01-07,12,0,12
2019-01-08,12,0,12
2019-01-09,12,0,12
2019-01-10,12,0,12
2019-01-11,12,0,12
2019-01-14,12,0,12
2019-01-15,12,0,12
2019-01-16,12,0,12
2019-01-17,12,0,12
2019-01-18,12,0,12
2019-01-21,12,0,12
2019-01-22,12,0,12
2019-01-23,12,0,12
2019-01-24,12,0,12
2019-01-25,12,0,12
2019-01-28,12,0,12
2019-01-29,12,0,12
2019-01-30,12,0,12
2019-01-31,12,0,12
2019-02-01,12,0,12
2019-02-04,12,0,12
2019-02-05,12,0,12
2019-02-06,12,0,12
2019-02-07,12,0,12
2019-02-08,12,0,12
2019-02-18,8,0,8
2019-02-19,10,0,10
2019-02-20,10,0,10
2019-02-21,10,0,10
2019-02-22,10,0,10
2019-02-25,10,0,10
2019-02-26,10,0,10
2019-02-27,10,0,10
2019-02-28,10,0,10
2019-03-01,10,0,10
2019-03-04,10,0,10
2019-03-05,10,0,10
2019-03-06,10,0,10
2019-03-07,10,0,10
2019-03-08,10,0,10
2019-03-11,10,0,10
2019-03-12,10,0,10
2019-03-13,10,0,10
2019-03-14,10,0,10
2019-03-15,10,0,10
2019-03-18,10,0,10
2019-03-19,10,0,10
2019-03-20,10,0,10
2019-03-21,10,0,10
2019-03-22,10,0,10
2019-03-25,10,0,10
2019-03-26,10,0,10
2019-03-27,10,0,10
2019-03-28,10,0,10
2019-03-29,10,0,10
2019-04-01,10,0,10
2019-04-02,10,0,10
2019-04-03,10,0,10
2019-04-04,10,0,10
2019-04-05,10,0,10
2019-04-08,10,0,10
2019-04-09,10,0,10
2019-04-10,10,0,10
2019-04-11,10,0,10
2019-04-12,10,0,10
2019-04-15,11,0,11
2019-04-16,11,0,11
2019-04-17,11,0,11
2019-04-18,11,0,11
2019-04-19,11,0,11
2019-04-23,11,0,11
2019-04-24,11,0,11
2019-04-25,11,0,11
2019-04-26,11,0,11
2019-04-29,11,0,11
2019-04-30,11,0,11
2019-05-01,12,0,12
2019-05-02,12,0,12
2019-05-03,12,0,12
2019-05-06,12,0,12
2019-05-07,12,0,12
2019-05-08,12,0,12
2019-05-09,12,0,12
2019-05-10,12,0,12
2019-05-13,12,0,12
2019-05-14,12,0,12
2019-05-15,12,0,12
2019-05-16,12,0,12
2019-05-17,12,0,12
2019-05-20,12,0,12
2019-05-21,12,0,12
2019-05-22,12,0,12
2019-05-23,12,0,12
2019-05-24,12,0,12
2019-05-27,12,0,12
2019-05-28,12,0,12
2019-05-29,12,0,12
2019-05-30,12,0,12
2019-05-31,12,0,12
2019-06-03,12,0,12
2019-06-04,12,0,12
2019-06-05,12,0,12
2019-06-06,12,0,12
2019-06-07,12,0,12
2019-06-10,12,0,12
2019-06-11,12,0,12
2019-06-12,12,0,12
2019-06-13,12,0,12
2019-06-14,12,0,12
2019-06-17,12,0,12
2019-06-18,12,0,12
2019-06-19,12,0,12
2019-06-20,12,0,12
2019-06-21,12,0,12
2019-06-24,12,0,12
2019-06-25,12,0,12
2019-06-27,12,0,12
2019-06-28,12,0,12
2019-07-08,12,0,12
2019-07-09,12,0,12
2019-07-10,12,0,12
2019-07-11,12,0,12
2019-07-12,12,0,12
2019-07-15,12,0,12
2019-07-16,12,0,12
2019-07-17,12,0,12
2019-07-18,12,0,12
2019-07-19,12,0,12
2019-07-22,12,0,12
2019-07-23,12,0,12
2019-07-24,12,0,12
2019-07-25,12,0,12
2019-07-26,12,0,12
2019-07-29,12,0,12
2019-07-30,12,0,12
2019-07-31,12,0,12
2019-08-01,12,0,12
2019-08-02,14,0,14
2019-08-05,14,0,14
2019-08-06,14,0,14
2019-08-07,14,0,14
2019-08-08,14,0,14
2019-08-09,14,0,14
2019-08-12,14,0,14
2019-08-13,14,0,14
2019-08-14,14,0,14
2019-08-15,14,0,14
2019-08-16,14,0,14
2019-08-26,14,0,14
2019-08-27,14,0,14
2019-08-28,14,0,14
2019-08-29,14,0,14
2019-08-30,14,0,14
2019-09-02,14,0,14
2019-09-03,14,0,14
2019-09-04,14,0,14
2019-09-05,14,0,14
2019-09-06,14,0,14
2019-09-09,14,0,14
2019-09-10,14,0,14
2019-09-11,14,0,14
2019-09-12,14,0,14
2019-09-13,14,0,14
2019-09-16,14,0,14
2019-09-17,14,0,14
2019-09-18,14,0,14
2019-09-19,14,0,14
2019-09-20,14,0,14
2019-09-23,14,0,14
2019-09-24,14,0,14
2019-09-25,14,0,14
2019-09-26,14,0,14
2019-09-27,14,0,14
