Date,Total sources,Sources with issues,Correct sources
2018-07-17,101,60,41
2018-07-18,101,60,41
2018-07-19,103,61,42
2018-07-20,104,62,42
2018-07-23,104,62,42
2018-07-24,104,62,42
2018-07-25,104,62,42
2018-07-26,105,62,43
2018-07-27,105,62,43
2018-07-30,105,62,43
2018-07-31,105,62,43
2018-08-01,105,62,43
2018-08-02,105,59,46
2018-08-03,105,53,52
2018-08-06,105,53,52
2018-08-07,105,48,57
2018-08-08,105,48,57
2018-08-09,105,39,66
2018-08-10,105,25,80
2018-08-13,105,25,80
2018-08-14,105,10,95
2018-08-15,105,9,96
2018-08-17,105,9,96
2018-08-20,106,9,97
2018-08-21,106,9,97
2018-08-22,106,0,106
2018-08-22,106,0,106
2018-08-23,106,0,106
2018-08-24,106,0,106
2018-08-27,106,0,106
2018-08-28,106,0,106
2018-08-29,106,0,106
2018-08-30,107,0,107
2018-08-31,107,0,107
2018-09-03,107,0,107
2018-09-04,107,0,107
2018-09-05,107,0,107
2018-09-06,107,0,107
2018-09-06,107,0,107
2018-09-07,107,0,107
2018-09-10,107,0,107
2018-09-11,107,0,107
2018-09-12,107,0,107
2018-09-13,107,0,107
2018-09-14,107,0,107
2018-09-17,107,0,107
2018-09-19,107,0,107
2018-09-20,107,0,107
2018-09-21,108,0,108
2018-09-21,108,0,108
2018-09-24,108,0,108
2018-09-25,108,0,108
2018-09-26,108,0,108
2018-09-27,108,0,108
2018-09-28,108,0,108
2018-10-01,108,0,108
2018-10-02,108,0,108
2018-10-03,108,0,108
2018-10-04,108,0,108
2018-10-05,108,0,108
2018-10-08,108,0,108
2018-10-09,108,0,108
2018-10-10,108,0,108
2018-10-11,108,0,108
2018-10-12,108,0,108
2018-10-15,108,0,108
2018-10-16,108,0,108
2018-10-17,108,0,108
2018-10-18,108,0,108
2018-10-19,108,0,108
2018-10-22,108,0,108
2018-10-23,108,0,108
2018-10-24,108,0,108
2018-10-25,108,0,108
2018-10-26,109,0,109
2018-10-31,109,0,109
2018-11-01,109,0,109
2018-11-02,110,0,110
2018-11-05,110,0,110
2018-11-06,110,0,110
2018-11-07,110,0,110
2018-11-08,110,0,110
2018-11-09,110,0,110
2018-11-12,110,0,110
2018-11-13,110,0,110
2018-11-14,110,0,110
2018-11-15,110,0,110
2018-11-16,110,0,110
2018-11-19,110,0,110
2018-11-20,110,0,110
2018-11-21,110,0,110
2018-11-22,110,0,110
2018-11-23,110,0,110
2018-11-26,110,0,110
2018-11-27,110,0,110
2018-11-28,110,0,110
2018-11-29,110,0,110
2018-11-30,110,0,110
2018-12-03,110,0,110
2018-12-04,110,0,110
2018-12-05,110,0,110
2018-12-06,110,0,110
2018-12-07,110,0,110
2018-12-10,111,0,111
2018-12-11,111,0,111
2018-12-12,120,0,120
