Date,Total sources,Sources with issues,Correct sources
2018-07-17,20,7,13
2018-07-18,20,7,13
2018-07-19,20,7,13
2018-07-20,20,7,13
2018-07-23,20,7,13
2018-07-24,20,7,13
2018-07-25,20,7,13
2018-07-26,20,7,13
2018-07-27,20,7,13
2018-07-30,20,7,13
2018-07-31,20,7,13
2018-08-01,20,7,13
2018-08-02,20,7,13
2018-08-03,20,7,13
2018-08-06,20,7,13
2018-08-07,20,7,13
2018-08-08,20,7,13
2018-08-09,20,1,19
2018-08-10,20,1,19
2018-08-13,20,1,19
2018-08-14,20,1,19
2018-08-15,21,2,19
2018-08-17,21,2,19
2018-08-20,21,2,19
2018-08-21,21,2,19
2018-08-22,21,2,19
2018-08-22,21,2,19
2018-08-23,21,2,19
2018-08-24,21,2,19
2018-08-27,22,1,21
2018-08-28,22,1,21
2018-08-29,22,1,21
2018-08-30,22,1,21
2018-08-31,22,1,21
2018-09-03,22,1,21
2018-09-04,22,1,21
2018-09-05,22,1,21
2018-09-06,22,1,21
2018-09-06,22,1,21
2018-09-07,22,1,21
2018-09-10,22,1,21
2018-09-11,22,1,21
2018-09-12,24,3,21
2018-09-13,24,1,23
2018-09-14,24,1,23
2018-09-17,24,1,23
2018-09-19,24,1,23
2018-09-20,24,1,23
2018-09-21,24,1,23
2018-09-21,24,1,23
2018-09-24,24,1,23
2018-09-25,24,1,23
2018-09-26,24,1,23
2018-09-27,24,1,23
2018-09-28,24,1,23
2018-10-01,24,1,23
2018-10-02,24,1,23
2018-10-03,24,1,23
2018-10-04,24,1,23
2018-10-05,24,1,23
2018-10-08,24,1,23
2018-10-09,24,1,23
2018-10-10,24,1,23
2018-10-11,24,1,23
2018-10-12,24,1,23
2018-10-15,24,1,23
2018-10-16,24,1,23
2018-10-17,24,1,23
2018-10-18,24,1,23
2018-10-19,24,1,23
2018-10-22,24,1,23
2018-10-23,24,1,23
2018-10-24,24,2,22
2018-10-25,24,1,23
2018-10-26,24,1,23
2018-10-31,24,1,23
2018-11-01,24,1,23
2018-11-02,24,1,23
2018-11-05,24,1,23
2018-11-06,24,1,23
2018-11-07,24,1,23
2018-11-08,25,1,24
2018-11-09,25,1,24
2018-11-12,25,1,24
2018-11-13,25,1,24
2018-11-14,25,1,24
2018-11-15,25,1,24
2018-11-16,25,2,23
2018-11-19,25,1,24
2018-11-20,25,1,24
2018-11-21,25,1,24
2018-11-22,25,1,24
2018-11-23,25,1,24
2018-11-26,25,1,24
2018-11-27,25,1,24
2018-11-28,25,1,24
2018-11-29,25,1,24
2018-11-30,25,1,24
2018-12-03,25,1,24
2018-12-04,25,1,24
2018-12-05,25,1,24
2018-12-06,25,1,24
2018-12-07,25,1,24
2018-12-10,25,1,24
2018-12-11,25,1,24
2018-12-12,25,1,24
2018-12-13,25,1,24
2018-12-14,25,1,24
2018-12-18,25,1,24
2018-12-19,25,1,24
2018-12-20,25,1,24
2018-12-21,25,1,24
2019-01-01,25,1,24
2019-01-02,25,1,24
2019-01-03,25,1,24
2019-01-04,25,1,24
2019-01-07,25,1,24
2019-01-08,25,1,24
2019-01-09,25,1,24
2019-01-10,25,1,24
2019-01-11,25,1,24
2019-01-14,25,1,24
2019-01-15,25,1,24
2019-01-16,25,1,24
2019-01-17,25,1,24
2019-01-18,25,1,24
2019-01-21,25,1,24
2019-01-22,25,1,24
2019-01-23,25,1,24
2019-01-24,25,1,24
2019-01-25,25,1,24
2019-01-28,25,1,24
2019-01-29,25,1,24
2019-01-30,25,1,24
2019-01-31,25,1,24
2019-02-01,25,1,24
2019-02-04,25,1,24
2019-02-05,25,1,24
2019-02-06,25,1,24
2019-02-07,25,1,24
2019-02-08,25,1,24
2019-02-18,25,1,24
2019-02-19,25,2,23
2019-02-20,25,1,24
2019-02-21,26,0,26
2019-02-22,26,0,26
2019-02-25,26,0,26
2019-02-26,26,0,26
2019-02-27,26,0,26
2019-02-28,26,0,26
2019-03-01,26,0,26
2019-03-04,26,0,26
2019-03-05,26,0,26
2019-03-06,26,0,26
2019-03-07,26,0,26
2019-03-08,26,0,26
2019-03-11,26,0,26
2019-03-12,26,0,26
2019-03-13,26,0,26
2019-03-14,26,0,26
2019-03-15,26,0,26
2019-03-18,26,0,26
2019-03-19,26,0,26
2019-03-20,26,0,26
2019-03-21,26,0,26
2019-03-22,26,0,26
2019-03-25,26,0,26
2019-03-26,26,0,26
2019-03-27,26,0,26
2019-03-28,26,0,26
2019-03-29,26,0,26
2019-04-01,26,0,26
2019-04-02,26,0,26
2019-04-03,26,0,26
2019-04-04,26,0,26
2019-04-05,26,0,26
2019-04-08,26,0,26
2019-04-09,26,0,26
2019-04-10,26,0,26
2019-04-11,26,0,26
2019-04-12,27,0,27
2019-04-15,27,0,27
2019-04-16,27,0,27
2019-04-17,27,0,27
2019-04-18,27,0,27
2019-04-19,27,0,27
2019-04-23,27,0,27
2019-04-24,27,0,27
2019-04-25,27,0,27
2019-04-26,27,0,27
2019-04-29,27,0,27
2019-04-30,27,0,27
2019-05-01,27,0,27
2019-05-02,27,0,27
2019-05-03,27,0,27
2019-05-06,27,0,27
2019-05-07,27,0,27
2019-05-08,27,0,27
2019-05-09,27,0,27
2019-05-10,27,0,27
2019-05-13,27,0,27
2019-05-14,27,0,27
2019-05-15,27,0,27
2019-05-16,27,0,27
2019-05-17,27,0,27
2019-05-20,27,0,27
2019-05-21,27,0,27
2019-05-22,27,0,27
2019-05-23,27,0,27
2019-05-24,27,0,27
2019-05-27,27,0,27
2019-05-28,27,0,27
2019-05-29,27,0,27
2019-05-30,27,0,27
2019-05-31,27,0,27
2019-06-03,27,0,27
2019-06-04,27,0,27
2019-06-05,27,0,27
2019-06-06,27,0,27
2019-06-07,27,0,27
2019-06-10,27,0,27
2019-06-11,27,0,27
2019-06-12,27,0,27
2019-06-13,27,0,27
2019-06-14,27,0,27
2019-06-17,27,0,27
2019-06-18,27,0,27
2019-06-19,27,0,27
2019-06-20,27,0,27
2019-06-21,27,0,27
2019-06-24,27,0,27
2019-06-25,27,0,27
2019-06-27,27,0,27
2019-06-28,27,0,27
2019-07-08,27,0,27
2019-07-09,27,0,27
2019-07-10,27,0,27
2019-07-11,27,0,27
2019-07-12,27,0,27
2019-07-15,27,0,27
2019-07-16,27,0,27
2019-07-17,27,0,27
2019-07-18,27,0,27
2019-07-19,27,0,27
2019-07-22,27,0,27
2019-07-23,27,0,27
2019-07-24,27,0,27
2019-07-25,27,0,27
2019-07-26,27,0,27
2019-07-29,27,0,27
2019-07-30,27,0,27
2019-07-31,27,0,27
2019-08-01,27,0,27
2019-08-02,27,0,27
2019-08-05,27,0,27
2019-08-06,27,0,27
2019-08-07,27,0,27
2019-08-08,27,0,27
2019-08-09,27,0,27
2019-08-12,27,0,27
2019-08-13,27,0,27
2019-08-14,27,0,27
2019-08-15,27,0,27
