Date,Total sources,Sources with issues,Correct sources
2018-07-17,16,7,9
2018-07-18,16,7,9
2018-07-19,16,7,9
2018-07-20,16,7,9
2018-07-23,16,7,9
2018-07-24,16,7,9
2018-07-25,16,7,9
2018-07-26,16,7,9
2018-07-27,16,7,9
2018-07-30,16,7,9
2018-07-31,16,7,9
2018-08-01,16,7,9
2018-08-02,16,7,9
2018-08-03,16,7,9
2018-08-06,16,7,9
2018-08-07,16,7,9
2018-08-08,16,7,9
2018-08-09,16,3,13
2018-08-10,16,3,13
2018-08-13,16,3,13
2018-08-14,16,3,13
2018-08-15,16,3,13
2018-08-17,16,3,13
2018-08-20,16,3,13
2018-08-21,16,3,13
2018-08-22,16,3,13
2018-08-22,16,3,13
2018-08-23,16,3,13
2018-08-24,16,3,13
2018-08-27,16,3,13
2018-08-28,16,3,13
2018-08-29,16,3,13
2018-08-30,16,3,13
2018-08-31,16,3,13
2018-09-03,16,3,13
2018-09-04,16,2,14
2018-09-05,16,2,14
2018-09-06,16,2,14
2018-09-06,16,2,14
2018-09-07,16,2,14
2018-09-10,16,2,14
2018-09-11,16,2,14
2018-09-12,16,2,14
2018-09-13,16,2,14
2018-09-14,16,2,14
2018-09-17,16,2,14
2018-09-19,16,2,14
2018-09-20,16,2,14
2018-09-21,16,2,14
2018-09-21,16,2,14
2018-09-24,16,2,14
2018-09-25,16,2,14
2018-09-26,16,2,14
2018-09-27,16,2,14
2018-09-28,16,2,14
2018-10-01,16,2,14
2018-10-02,16,2,14
2018-10-03,16,2,14
2018-10-04,16,2,14
2018-10-05,16,2,14
2018-10-08,16,2,14
2018-10-09,16,2,14
2018-10-10,16,2,14
2018-10-11,16,2,14
2018-10-12,16,2,14
2018-10-15,16,2,14
2018-10-16,16,2,14
2018-10-17,16,2,14
2018-10-18,16,2,14
2018-10-19,16,2,14
2018-10-22,16,2,14
2018-10-23,16,2,14
2018-10-24,16,2,14
2018-10-25,16,2,14
2018-10-26,16,2,14
2018-10-31,16,2,14
2018-11-01,16,2,14
2018-11-02,16,2,14
2018-11-05,16,2,14
2018-11-06,16,2,14
2018-11-07,16,2,14
2018-11-08,16,2,14
2018-11-09,16,2,14
2018-11-12,16,2,14
2018-11-13,16,2,14
2018-11-14,16,2,14
2018-11-15,16,2,14
2018-11-16,16,2,14
2018-11-19,16,2,14
2018-11-20,16,2,14
2018-11-21,16,2,14
2018-11-22,16,2,14
2018-11-23,16,2,14
2018-11-26,16,2,14
2018-11-27,16,2,14
2018-11-28,16,2,14
2018-11-29,16,2,14
2018-11-30,16,2,14
2018-12-03,16,2,14
2018-12-04,16,2,14
2018-12-05,16,2,14
2018-12-06,16,2,14
2018-12-07,16,2,14
2018-12-10,16,0,16
2018-12-11,16,0,16
2018-12-12,16,0,16
2018-12-13,16,0,16
2018-12-14,16,0,16
