Date,Total sources,Sources with issues,Correct sources
2018-11-09,7,2,5
2018-11-12,7,2,5
2018-11-13,7,2,5
2018-11-14,7,2,5
2018-11-15,7,2,5
2018-11-16,7,3,4
2018-11-19,7,3,4
2018-11-20,7,3,4
2018-11-21,7,3,4
2018-11-22,7,3,4
2018-11-23,7,3,4
2018-11-26,7,3,4
2018-11-27,7,3,4
2018-11-28,7,3,4
2018-11-29,7,3,4
2018-11-30,9,4,5
2018-12-03,9,4,5
2018-12-04,9,4,5
2018-12-05,9,4,5
2018-12-06,9,4,5
2018-12-07,9,4,5
2018-12-10,9,4,5
2018-12-11,9,4,5
2018-12-12,9,4,5
2018-12-13,9,4,5
2018-12-14,9,4,5
