Date,Total sources,Sources with issues,Correct sources
2018-07-17,43,21,22
2018-07-18,43,21,22
2018-07-19,43,21,22
2018-07-20,43,21,22
2018-07-23,43,21,22
2018-07-24,43,21,22
2018-07-25,43,21,22
2018-07-26,43,21,22
2018-07-27,43,21,22
2018-07-30,43,21,22
2018-07-31,43,21,22
2018-08-01,43,21,22
2018-08-02,43,21,22
2018-08-03,43,21,22
2018-08-06,43,21,22
2018-08-07,43,21,22
2018-08-08,43,21,22
2018-08-09,43,21,22
2018-08-10,43,21,22
2018-08-13,43,21,22
2018-08-14,43,21,22
2018-08-15,43,21,22
2018-08-17,43,21,22
2018-08-20,43,21,22
2018-08-21,43,21,22
2018-08-22,43,21,22
2018-08-22,43,21,22
2018-08-23,43,21,22
2018-08-24,43,21,22
2018-08-27,43,21,22
2018-08-28,43,21,22
2018-08-29,43,21,22
2018-08-30,43,21,22
2018-08-31,43,21,22
2018-09-03,43,0,43
2018-09-04,43,0,43
2018-09-05,43,0,43
2018-09-06,43,0,43
2018-09-06,43,0,43
2018-09-07,43,0,43
2018-09-10,43,0,43
2018-09-11,43,0,43
2018-09-12,43,0,43
2018-09-13,43,0,43
2018-09-14,43,0,43
2018-09-17,43,0,43
2018-09-19,43,0,43
2018-09-20,43,0,43
2018-09-21,43,0,43
2018-09-21,43,0,43
2018-09-24,43,0,43
2018-09-25,43,0,43
2018-09-26,43,0,43
2018-09-27,43,0,43
2018-09-28,43,0,43
2018-10-01,43,0,43
2018-10-02,43,0,43
2018-10-03,43,0,43
2018-10-04,43,0,43
2018-10-05,43,0,43
2018-10-08,43,0,43
2018-10-09,43,0,43
2018-10-10,43,0,43
2018-10-11,43,0,43
2018-10-12,43,0,43
2018-10-15,43,0,43
2018-10-16,43,0,43
2018-10-17,43,0,43
2018-10-18,43,0,43
2018-10-19,43,0,43
2018-10-22,43,0,43
2018-10-23,43,0,43
2018-10-24,43,0,43
2018-10-25,43,0,43
2018-10-26,43,0,43
2018-10-31,43,0,43
2018-11-01,43,0,43
2018-11-02,43,0,43
2018-11-05,43,0,43
2018-11-06,43,0,43
2018-11-07,43,0,43
2018-11-08,43,0,43
2018-11-09,43,0,43
2018-11-12,43,0,43
2018-11-13,43,0,43
2018-11-14,43,0,43
2018-11-15,43,0,43
2018-11-16,43,0,43
2018-11-19,43,0,43
2018-11-20,43,0,43
2018-11-21,43,0,43
2018-11-22,43,0,43
2018-11-23,43,0,43
2018-11-26,43,0,43
2018-11-27,43,0,43
2018-11-28,43,0,43
2018-11-29,43,0,43
2018-11-30,43,0,43
2018-12-03,43,0,43
2018-12-04,43,0,43
2018-12-05,43,0,43
2018-12-06,43,0,43
2018-12-07,43,0,43
2018-12-10,43,0,43
2018-12-11,43,0,43
2018-12-12,43,0,43
2018-12-13,43,0,43
2018-12-14,43,0,43
