Date,Total sources,Sources with issues,Correct sources
2018-09-11,4,1,3
2018-09-12,4,0,4
2018-09-13,4,0,4
2018-09-14,4,0,4
2018-09-17,4,0,4
2018-09-19,4,0,4
2018-09-20,4,0,4
2018-09-21,4,0,4
2018-09-21,4,0,4
2018-09-24,4,0,4
2018-09-25,4,0,4
2018-09-26,4,0,4
2018-09-27,4,0,4
2018-09-28,4,0,4
2018-10-01,4,0,4
2018-10-02,4,0,4
2018-10-03,4,0,4
2018-10-04,4,0,4
2018-10-05,4,0,4
2018-10-08,4,0,4
2018-10-09,4,0,4
2018-10-10,4,0,4
2018-10-11,4,0,4
2018-10-12,4,0,4
2018-10-15,4,0,4
2018-10-16,4,0,4
2018-10-17,4,0,4
2018-10-18,4,0,4
2018-10-19,4,0,4
2018-10-22,4,0,4
2018-10-23,4,0,4
2018-10-24,4,0,4
2018-10-25,4,0,4
2018-10-26,4,0,4
2018-10-31,4,0,4
2018-11-01,4,0,4
2018-11-02,4,0,4
2018-11-05,4,0,4
2018-11-06,4,0,4
2018-11-07,4,0,4
2018-11-08,4,0,4
2018-11-09,4,0,4
2018-11-12,4,0,4
2018-11-13,4,0,4
2018-11-14,4,0,4
2018-11-15,4,0,4
2018-11-16,7,1,6
2018-11-19,7,1,6
2018-11-20,7,1,6
2018-11-21,7,0,7
2018-11-22,7,0,7
2018-11-23,7,0,7
2018-11-26,7,0,7
2018-11-27,7,0,7
2018-11-28,7,0,7
2018-11-29,7,0,7
2018-11-30,7,0,7
2018-12-03,7,0,7
2018-12-04,7,0,7
2018-12-05,7,0,7
2018-12-06,7,0,7
2018-12-07,7,0,7
2018-12-10,7,0,7
2018-12-11,7,0,7
2018-12-12,7,0,7
2018-12-13,7,0,7
2018-12-14,9,0,9
