Date,Total sources,Sources with issues,Correct sources
2018-07-18,163,19,144
2018-07-19,163,19,144
2018-07-20,163,19,144
2018-07-23,161,19,142
2018-07-24,161,19,142
2018-07-25,161,19,142
2018-07-26,161,19,142
2018-07-27,161,19,142
2018-07-30,161,19,142
2018-07-31,162,19,143
2018-08-01,162,19,143
2018-08-02,162,19,143
2018-08-03,162,19,143
2018-08-06,162,19,143
2018-08-07,162,19,143
2018-08-08,162,19,143
2018-08-09,162,19,143
2018-08-10,162,19,143
2018-08-13,162,19,143
2018-08-14,162,19,143
2018-08-15,162,19,143
2018-08-17,162,19,143
2018-08-20,162,19,143
2018-08-21,162,19,143
2018-08-22,162,19,143
2018-08-22,162,19,143
2018-08-23,162,19,143
2018-08-24,162,19,143
2018-08-27,162,19,143
2018-08-28,162,19,143
2018-08-29,162,19,143
2018-08-30,162,19,143
2018-08-31,162,19,143
2018-09-03,162,19,143
2018-09-04,162,19,143
2018-09-05,162,19,143
2018-09-06,162,19,143
2018-09-06,162,19,143
2018-09-07,162,19,143
2018-09-10,162,19,143
2018-09-11,162,19,143
2018-09-12,162,19,143
2018-09-13,162,5,157
2018-09-14,162,3,159
2018-09-17,162,3,159
2018-09-19,162,3,159
2018-09-20,162,2,160
2018-09-21,162,2,160
2018-09-21,162,2,160
2018-09-24,162,2,160
2018-09-25,162,2,160
2018-09-26,162,2,160
2018-09-27,162,2,160
2018-09-28,162,2,160
2018-10-01,162,2,160
2018-10-02,162,2,160
2018-10-03,162,2,160
2018-10-04,162,2,160
2018-10-05,162,2,160
2018-10-08,162,2,160
2018-10-09,162,2,160
2018-10-10,162,2,160
2018-10-11,162,2,160
2018-10-12,162,2,160
2018-10-15,162,2,160
2018-10-16,162,2,160
2018-10-17,162,2,160
2018-10-18,162,2,160
2018-10-19,162,2,160
2018-10-22,162,2,160
2018-10-23,162,2,160
2018-10-24,163,3,160
2018-10-25,163,2,161
2018-10-26,163,2,161
2018-10-31,163,2,161
2018-11-01,163,2,161
2018-11-02,163,2,161
2018-11-05,163,2,161
2018-11-06,163,2,161
2018-11-07,163,2,161
2018-11-08,163,2,161
2018-11-09,163,2,161
2018-11-12,154,3,151
2018-11-13,154,3,151
2018-11-14,154,3,151
2018-11-15,154,3,151
2018-11-16,161,3,158
2018-11-19,161,3,158
2018-11-20,161,3,158
2018-11-21,161,3,158
2018-11-22,161,3,158
2018-11-23,163,3,160
2018-11-26,163,3,160
2018-11-27,158,3,155
2018-11-28,158,3,155
2018-11-29,157,3,154
2018-11-30,157,3,154
2018-12-03,159,3,156
2018-12-04,159,3,156
2018-12-05,158,3,155
2018-12-06,158,3,155
2018-12-07,158,3,155
2018-12-10,158,2,156
2018-12-11,158,2,156
2018-12-12,158,2,156
2018-12-13,158,2,156
2018-12-14,158,2,156
