Date,Total sources,Sources with issues,Correct sources
2018-07-17,12,6,6
2018-07-18,12,6,6
2018-07-19,12,6,6
2018-07-20,12,6,6
2018-07-23,12,6,6
2018-07-24,12,6,6
2018-07-25,12,6,6
2018-07-26,12,6,6
2018-07-27,12,6,6
2018-07-30,12,6,6
2018-07-31,12,6,6
2018-08-01,12,6,6
2018-08-02,12,6,6
2018-08-03,12,6,6
2018-08-06,12,5,7
2018-08-07,12,5,7
2018-08-08,12,0,12
2018-08-09,12,0,12
2018-08-10,12,0,12
2018-08-13,12,0,12
2018-08-14,12,0,12
2018-08-15,12,0,12
2018-08-17,12,0,12
2018-08-20,12,0,12
2018-08-21,18,0,18
2018-08-22,18,0,18
2018-08-22,18,0,18
2018-08-23,18,0,18
2018-08-24,18,0,18
2018-08-27,18,0,18
2018-08-28,18,0,18
2018-08-29,18,0,18
2018-08-30,18,0,18
2018-08-31,18,0,18
2018-09-03,18,0,18
2018-09-04,18,0,18
2018-09-05,18,0,18
2018-09-06,18,0,18
2018-09-06,18,1,17
2018-09-07,18,1,17
2018-09-10,18,1,17
2018-09-11,18,1,17
2018-09-12,18,0,18
2018-09-13,18,0,18
2018-09-14,18,0,18
2018-09-17,18,0,18
2018-09-19,16,0,16
2018-09-20,19,0,19
2018-09-21,19,0,19
2018-09-21,19,0,19
2018-09-24,19,0,19
2018-09-25,19,0,19
2018-09-26,19,0,19
2018-09-27,19,0,19
2018-09-28,19,0,19
2018-10-01,19,0,19
2018-10-02,19,0,19
2018-10-03,19,0,19
2018-10-04,19,0,19
2018-10-05,19,0,19
2018-10-08,19,0,19
2018-10-09,19,0,19
2018-10-10,19,0,19
2018-10-11,19,0,19
2018-10-12,19,0,19
2018-10-15,19,0,19
2018-10-16,19,0,19
2018-10-17,19,0,19
2018-10-18,19,0,19
2018-10-19,19,0,19
2018-10-22,19,0,19
2018-10-23,19,0,19
2018-10-24,19,0,19
2018-10-25,19,0,19
2018-10-26,19,0,19
2018-10-31,19,0,19
2018-11-01,19,0,19
2018-11-02,19,0,19
2018-11-05,19,0,19
2018-11-06,19,0,19
2018-11-07,19,0,19
2018-11-08,19,0,19
2018-11-09,19,0,19
2018-11-12,19,0,19
2018-11-13,19,0,19
2018-11-14,19,0,19
2018-11-15,19,0,19
2018-11-16,19,0,19
2018-11-19,19,0,19
2018-11-20,19,0,19
2018-11-21,19,0,19
2018-11-22,19,0,19
2018-11-23,19,0,19
2018-11-26,19,0,19
2018-11-27,19,0,19
2018-11-28,21,0,21
2018-11-29,21,0,21
2018-11-30,21,0,21
2018-12-03,21,0,21
2018-12-04,21,0,21
2018-12-05,21,0,21
2018-12-06,21,0,21
2018-12-07,21,0,21
2018-12-10,21,0,21
2018-12-11,21,0,21
2018-12-12,21,0,21
2018-12-13,21,0,21
2018-12-14,21,0,21
