Date,Total sources,Sources with issues,Correct sources
2018-08-27,20,0,20
2018-08-28,21,1,20
2018-08-29,21,0,21
2018-08-30,21,0,21
2018-08-31,21,0,21
2018-09-03,21,0,21
2018-09-04,21,0,21
2018-09-05,21,0,21
2018-09-06,21,0,21
2018-09-06,21,0,21
2018-09-07,21,0,21
2018-09-10,21,0,21
2018-09-11,21,0,21
2018-09-12,21,0,21
2018-09-13,21,0,21
2018-09-14,21,0,21
2018-09-17,21,0,21
2018-09-19,21,0,21
2018-09-20,21,0,21
2018-09-21,21,0,21
2018-09-21,21,0,21
2018-09-24,21,0,21
2018-09-25,21,0,21
2018-09-26,21,0,21
2018-09-27,21,0,21
2018-09-28,21,0,21
2018-10-01,21,0,21
2018-10-02,21,0,21
2018-10-03,21,0,21
2018-10-04,21,0,21
2018-10-05,21,0,21
2018-10-08,21,0,21
2018-10-09,21,0,21
2018-10-10,21,0,21
2018-10-11,21,0,21
2018-10-12,21,0,21
2018-10-15,21,0,21
2018-10-16,21,0,21
2018-10-17,21,0,21
2018-10-18,22,0,22
2018-10-19,22,0,22
2018-10-22,22,0,22
2018-10-23,22,0,22
2018-10-24,22,0,22
2018-10-25,22,0,22
2018-10-26,22,0,22
2018-10-31,23,0,23
2018-11-01,23,0,23
2018-11-02,23,0,23
2018-11-05,23,0,23
2018-11-06,23,0,23
2018-11-07,23,0,23
2018-11-08,23,0,23
2018-11-09,23,0,23
2018-11-12,22,0,22
2018-11-13,22,0,22
2018-11-14,22,0,22
2018-11-15,22,0,22
2018-11-16,22,0,22
2018-11-19,22,0,22
2018-11-20,22,0,22
2018-11-21,22,0,22
2018-11-22,22,0,22
2018-11-23,22,0,22
2018-11-26,22,0,22
2018-11-27,22,0,22
2018-11-28,22,0,22
2018-11-29,22,0,22
2018-11-30,22,0,22
