Date,Total sources,Sources with issues,Correct sources
2018-11-23,6,4,2
2018-11-26,6,4,2
2018-11-27,6,4,2
2018-11-28,6,4,2
2018-11-29,6,4,2
2018-11-30,7,5,2
2018-12-03,15,0,15
2018-12-04,15,0,15
2018-12-05,15,0,15
2018-12-06,15,0,15
2018-12-07,15,0,15
2018-12-10,15,0,15
2018-12-11,15,0,15
2018-12-12,15,0,15
2018-12-13,15,0,15
2018-12-14,15,0,15
2018-12-18,15,0,15
2018-12-19,15,0,15
2018-12-20,15,0,15
2018-12-21,15,0,15
2019-01-01,15,0,15
2019-01-02,15,0,15
2019-01-03,15,0,15
2019-01-04,15,0,15
2019-01-07,15,0,15
2019-01-08,15,0,15
2019-01-09,15,0,15
2019-01-10,15,0,15
2019-01-11,15,0,15
2019-01-14,15,0,15
2019-01-15,15,0,15
2019-01-16,15,0,15
2019-01-17,15,0,15
2019-01-18,15,0,15
2019-01-21,15,0,15
2019-01-22,15,0,15
2019-01-23,15,0,15
2019-01-24,15,0,15
2019-01-25,15,0,15
2019-01-28,15,0,15
2019-01-29,15,0,15
2019-01-30,15,0,15
2019-01-31,15,0,15
2019-02-01,15,0,15
2019-02-04,15,0,15
2019-02-05,15,0,15
2019-02-06,15,0,15
2019-02-07,15,0,15
2019-02-08,15,0,15
2019-02-18,15,0,15
2019-02-19,15,0,15
2019-02-20,15,0,15
2019-02-21,15,0,15
2019-02-22,15,0,15
2019-02-25,15,0,15
2019-02-26,15,0,15
2019-02-27,15,0,15
2019-02-28,15,0,15
2019-03-01,15,0,15
2019-03-04,15,0,15
2019-03-05,15,0,15
2019-03-06,15,0,15
2019-03-07,15,0,15
2019-03-08,15,0,15
2019-03-11,15,0,15
2019-03-12,15,0,15
2019-03-13,15,0,15
2019-03-14,15,0,15
2019-03-15,15,0,15
2019-03-18,15,0,15
2019-03-19,15,0,15
2019-03-20,15,0,15
2019-03-21,15,0,15
2019-03-22,15,0,15
2019-03-25,15,0,15
2019-03-26,15,0,15
2019-03-27,15,0,15
2019-03-28,15,0,15
2019-03-29,15,0,15
2019-04-01,15,0,15
2019-04-02,15,0,15
2019-04-03,15,0,15
2019-04-04,15,0,15
2019-04-05,15,0,15
2019-04-08,15,0,15
2019-04-09,15,0,15
2019-04-10,15,0,15
2019-04-11,15,0,15
2019-04-12,15,0,15
2019-04-15,15,0,15
2019-04-16,15,0,15
2019-04-17,15,0,15
2019-04-18,15,0,15
2019-04-19,15,0,15
2019-04-23,15,0,15
2019-04-24,15,0,15
2019-04-25,15,0,15
2019-04-26,15,0,15
2019-04-29,15,0,15
2019-04-30,15,0,15
2019-05-01,15,0,15
2019-05-02,15,0,15
2019-05-03,15,0,15
2019-05-06,15,0,15
2019-05-07,15,0,15
2019-05-08,15,0,15
2019-05-09,15,0,15
2019-05-10,15,0,15
2019-05-13,15,0,15
2019-05-14,15,0,15
2019-05-15,15,0,15
2019-05-16,15,0,15
2019-05-17,15,0,15
2019-05-20,15,0,15
2019-05-21,15,0,15
2019-05-22,15,0,15
2019-05-23,15,0,15
2019-05-24,16,0,16
2019-05-27,16,0,16
2019-05-28,16,0,16
2019-05-29,16,0,16
2019-05-30,16,0,16
2019-05-31,16,0,16
2019-06-03,16,0,16
2019-06-04,16,0,16
2019-06-05,16,0,16
2019-06-06,16,0,16
2019-06-07,16,0,16
2019-06-10,16,0,16
2019-06-11,16,0,16
2019-06-12,16,0,16
2019-06-13,16,0,16
2019-06-14,16,0,16
2019-06-17,16,0,16
2019-06-18,16,0,16
2019-06-19,16,0,16
2019-06-20,16,0,16
2019-06-21,16,0,16
2019-06-24,16,0,16
2019-06-25,16,0,16
2019-06-27,16,0,16
2019-06-28,16,0,16
2019-07-08,16,0,16
2019-07-09,16,0,16
2019-07-10,16,0,16
2019-07-11,16,0,16
2019-07-12,16,0,16
2019-07-15,16,0,16
2019-07-16,16,0,16
2019-07-17,16,0,16
2019-07-18,16,0,16
2019-07-19,16,0,16
2019-07-22,16,0,16
2019-07-23,16,0,16
2019-07-24,16,0,16
2019-07-25,16,0,16
2019-07-26,16,0,16
2019-07-29,16,0,16
2019-07-30,16,0,16
2019-07-31,16,0,16
2019-08-01,16,0,16
2019-08-02,16,0,16
2019-08-05,16,0,16
2019-08-06,16,0,16
