Date,Total sources,Sources with issues,Correct sources
2018-11-23,0,0,0
2018-11-26,0,0,0
2018-11-27,0,0,0
2018-11-28,12,0,12
2018-11-29,12,0,12
2018-11-30,12,0,12
2018-12-03,12,0,12
2018-12-04,12,0,12
2018-12-05,12,0,12
2018-12-06,12,0,12
2018-12-07,12,0,12
2018-12-10,12,0,12
2018-12-11,12,0,12
2018-12-12,12,0,12
2018-12-13,12,0,12
2018-12-14,12,0,12
2018-12-18,12,0,12
2018-12-19,12,0,12
2018-12-20,12,0,12
2018-12-21,12,0,12
2019-01-01,12,0,12
2019-01-02,12,0,12
2019-01-03,12,0,12
2019-01-04,12,0,12
2019-01-07,12,0,12
2019-01-08,12,0,12
2019-01-09,12,0,12
2019-01-10,12,0,12
2019-01-11,12,0,12
2019-01-14,12,0,12
2019-01-15,12,0,12
2019-01-16,12,0,12
2019-01-17,12,0,12
2019-01-18,12,0,12
2019-01-21,12,0,12
2019-01-22,12,0,12
2019-01-23,12,0,12
2019-01-24,12,0,12
2019-01-25,12,0,12
2019-01-28,12,0,12
2019-01-29,12,0,12
2019-01-30,12,0,12
2019-01-31,12,0,12
2019-02-01,12,0,12
2019-02-04,12,0,12
2019-02-05,12,0,12
2019-02-06,12,0,12
2019-02-07,12,0,12
2019-02-08,12,0,12
2019-02-18,8,0,8
2019-02-19,10,0,10
2019-02-20,10,0,10
2019-02-21,10,0,10
2019-02-22,10,0,10
