Date,Total sources,Sources with issues,Correct sources
2018-07-17,20,7,13
2018-07-18,20,7,13
2018-07-19,20,7,13
2018-07-20,20,7,13
2018-07-23,20,7,13
2018-07-24,20,7,13
2018-07-25,20,7,13
2018-07-26,20,7,13
2018-07-27,20,7,13
2018-07-30,20,7,13
2018-07-31,20,7,13
2018-08-01,20,7,13
2018-08-02,20,7,13
2018-08-03,20,7,13
2018-08-06,20,7,13
2018-08-07,20,7,13
2018-08-08,20,7,13
2018-08-09,20,0,20
2018-08-10,20,0,20
2018-08-13,20,0,20
2018-08-14,20,0,20
2018-08-15,21,1,20
2018-08-17,21,1,20
2018-08-20,21,1,20
2018-08-21,21,1,20
2018-08-22,21,0,21
2018-08-22,21,0,21
2018-08-23,21,0,21
2018-08-24,21,0,21
2018-08-27,22,0,22
2018-08-28,22,0,22
2018-08-29,22,0,22
2018-08-30,22,0,22
2018-08-31,22,0,22
2018-09-03,22,0,22
2018-09-04,22,0,22
2018-09-05,22,0,22
2018-09-06,22,0,22
2018-09-06,22,0,22
2018-09-07,22,0,22
2018-09-10,22,0,22
2018-09-11,22,0,22
2018-09-12,24,1,23
2018-09-13,24,0,24
2018-09-14,24,0,24
2018-09-17,24,0,24
2018-09-19,24,0,24
2018-09-20,24,0,24
2018-09-21,24,0,24
2018-09-21,24,0,24
2018-09-24,24,0,24
2018-09-25,24,0,24
2018-09-26,24,0,24
2018-09-27,24,0,24
2018-09-28,24,0,24
2018-10-01,24,0,24
2018-10-02,24,0,24
2018-10-03,24,0,24
2018-10-04,24,0,24
2018-10-05,24,0,24
2018-10-08,24,0,24
2018-10-09,24,0,24
2018-10-10,24,0,24
2018-10-11,24,0,24
2018-10-12,24,0,24
2018-10-15,24,0,24
2018-10-16,24,0,24
2018-10-17,24,0,24
2018-10-18,24,0,24
2018-10-19,24,0,24
2018-10-22,24,0,24
2018-10-23,24,0,24
2018-10-24,24,0,24
2018-10-25,24,0,24
2018-10-26,24,0,24
2018-10-31,24,0,24
2018-11-01,24,0,24
2018-11-02,24,0,24
2018-11-05,24,0,24
2018-11-06,24,0,24
2018-11-07,24,0,24
2018-11-08,25,0,25
2018-11-09,25,0,25
2018-11-12,25,0,25
2018-11-13,25,0,25
2018-11-14,25,0,25
2018-11-15,25,0,25
2018-11-16,25,1,24
2018-11-19,25,0,25
2018-11-20,25,0,25
2018-11-21,25,0,25
2018-11-22,25,0,25
2018-11-23,25,0,25
2018-11-26,25,0,25
2018-11-27,25,0,25
2018-11-28,25,0,25
2018-11-29,25,0,25
2018-11-30,25,0,25
