Date,Total sources,Sources with issues,Correct sources
2018-07-17,23,5,18
2018-07-18,23,5,18
2018-07-19,23,5,18
2018-07-20,23,5,18
2018-07-23,23,5,18
2018-07-24,23,5,18
2018-07-25,23,5,18
2018-07-26,23,5,18
2018-07-27,23,5,18
2018-07-30,23,5,18
2018-07-31,23,5,18
2018-08-01,23,5,18
2018-08-02,23,0,23
2018-08-03,23,0,23
2018-08-06,23,0,23
2018-08-07,23,0,23
2018-08-08,23,0,23
2018-08-09,23,0,23
2018-08-10,23,0,23
2018-08-13,23,0,23
2018-08-14,23,0,23
2018-08-15,23,0,23
2018-08-17,23,0,23
2018-08-20,23,0,23
2018-08-21,23,0,23
2018-08-22,23,0,23
2018-08-22,23,0,23
2018-08-23,23,0,23
2018-08-24,23,0,23
2018-08-27,23,0,23
2018-08-28,23,0,23
2018-08-29,23,0,23
2018-08-30,23,0,23
2018-08-31,23,0,23
2018-09-03,23,0,23
2018-09-04,23,0,23
2018-09-05,23,0,23
2018-09-06,23,0,23
2018-09-06,23,0,23
2018-09-07,23,0,23
2018-09-10,23,0,23
2018-09-11,23,0,23
2018-09-12,23,0,23
2018-09-13,23,0,23
2018-09-14,23,0,23
2018-09-17,23,0,23
2018-09-19,23,0,23
2018-09-20,24,0,24
2018-09-21,24,0,24
2018-09-21,24,0,24
2018-09-24,24,0,24
2018-09-25,24,0,24
2018-09-26,24,0,24
2018-09-27,24,0,24
2018-09-28,24,0,24
2018-10-01,24,0,24
2018-10-02,24,0,24
2018-10-03,24,0,24
2018-10-04,24,0,24
2018-10-05,24,0,24
2018-10-08,24,0,24
2018-10-09,24,0,24
2018-10-10,24,0,24
2018-10-11,24,0,24
2018-10-12,24,0,24
2018-10-15,24,0,24
2018-10-16,24,0,24
2018-10-17,24,0,24
2018-10-18,24,0,24
2018-10-19,24,0,24
2018-10-22,24,0,24
2018-10-23,24,0,24
2018-10-24,24,0,24
2018-10-25,24,0,24
2018-10-26,24,0,24
2018-10-31,24,0,24
2018-11-01,24,0,24
2018-11-02,24,0,24
2018-11-05,24,0,24
2018-11-06,24,0,24
2018-11-07,24,0,24
2018-11-08,24,0,24
2018-11-09,24,0,24
2018-11-12,24,0,24
2018-11-13,24,0,24
2018-11-14,24,0,24
2018-11-15,24,0,24
2018-11-16,24,0,24
2018-11-19,24,0,24
2018-11-20,24,0,24
