Date,Total sources,Sources with issues,Correct sources
2018-07-19,33,12,21
2018-07-20,33,12,21
2018-07-23,33,12,21
2018-07-24,33,12,21
2018-07-25,33,12,21
2018-07-26,33,12,21
2018-07-27,33,12,21
2018-07-30,33,12,21
2018-07-31,33,12,21
2018-08-01,33,12,21
2018-08-02,33,12,21
2018-08-03,33,12,21
2018-08-06,33,12,21
2018-08-07,33,12,21
2018-08-08,33,12,21
2018-08-09,33,12,21
2018-08-10,33,12,21
2018-08-13,33,12,21
2018-08-14,33,12,21
2018-08-15,33,12,21
2018-08-17,33,12,21
2018-08-20,33,12,21
2018-08-21,33,12,21
2018-08-22,33,12,21
2018-08-22,33,12,21
2018-08-23,33,12,21
2018-08-24,33,12,21
2018-08-27,33,12,21
2018-08-28,33,12,21
2018-08-29,33,12,21
2018-08-30,33,12,21
2018-08-31,33,12,21
2018-09-03,33,12,21
2018-09-04,33,12,21
2018-09-05,33,12,21
2018-09-06,33,12,21
2018-09-06,33,12,21
2018-09-07,33,12,21
2018-09-10,33,12,21
2018-09-11,33,12,21
2018-09-12,33,5,28
2018-09-13,33,5,28
2018-09-14,33,0,33
2018-09-17,33,0,33
2018-09-19,33,0,33
2018-09-20,33,0,33
2018-09-21,33,0,33
2018-09-21,33,0,33
2018-09-24,33,0,33
2018-09-25,33,0,33
2018-09-26,33,0,33
2018-09-27,33,0,33
2018-09-28,33,0,33
2018-10-01,33,0,33
2018-10-02,33,0,33
2018-10-03,33,0,33
2018-10-04,33,0,33
2018-10-05,33,0,33
2018-10-08,33,0,33
2018-10-09,33,0,33
2018-10-10,33,0,33
2018-10-11,33,0,33
2018-10-12,33,0,33
2018-10-15,33,0,33
2018-10-16,33,0,33
2018-10-17,33,0,33
2018-10-18,33,0,33
2018-10-19,33,0,33
2018-10-22,33,0,33
2018-10-23,33,0,33
2018-10-24,33,0,33
2018-10-25,33,0,33
2018-10-26,33,0,33
2018-10-31,33,0,33
2018-11-01,33,0,33
2018-11-02,33,0,33
2018-11-05,33,0,33
2018-11-06,33,0,33
2018-11-07,33,0,33
2018-11-08,33,0,33
2018-11-09,33,0,33
2018-11-12,33,0,33
2018-11-13,33,0,33
2018-11-14,33,0,33
2018-11-15,33,0,33
2018-11-16,33,0,33
2018-11-19,33,0,33
2018-11-20,33,0,33
2018-11-21,33,0,33
2018-11-22,33,0,33
2018-11-23,33,0,33
2018-11-26,33,0,33
2018-11-27,33,0,33
2018-11-28,33,0,33
2018-11-29,33,0,33
2018-11-30,33,0,33
2018-12-03,33,0,33
2018-12-04,33,0,33
2018-12-05,33,0,33
2018-12-06,33,0,33
2018-12-07,33,0,33
2018-12-10,33,0,33
2018-12-11,33,0,33
2018-12-12,33,0,33
2018-12-13,33,0,33
2018-12-14,33,0,33
2018-12-18,33,0,33
2018-12-19,33,0,33
2018-12-20,33,0,33
2018-12-21,33,0,33
2019-01-01,33,0,33
2019-01-02,33,0,33
2019-01-03,33,0,33
2019-01-04,33,0,33
2019-01-07,33,0,33
2019-01-08,33,0,33
2019-01-09,33,0,33
2019-01-10,33,0,33
2019-01-11,33,0,33
