Date,Total sources,Sources with issues,Correct sources
2018-07-17,16,4,12
2018-07-18,16,4,12
2018-07-19,16,4,12
2018-07-20,16,4,12
2018-07-23,16,4,12
2018-07-24,16,4,12
2018-07-25,16,4,12
2018-07-26,16,4,12
2018-07-27,16,4,12
2018-07-30,16,4,12
2018-07-31,16,4,12
2018-08-01,16,4,12
2018-08-02,16,4,12
2018-08-03,16,4,12
2018-08-06,16,4,12
2018-08-07,16,4,12
2018-08-08,16,4,12
2018-08-09,16,0,16
2018-08-10,16,0,16
2018-08-13,16,0,16
2018-08-14,16,0,16
2018-08-15,16,0,16
2018-08-17,16,0,16
2018-08-20,16,0,16
2018-08-21,16,0,16
2018-08-22,16,0,16
2018-08-22,16,0,16
2018-08-23,16,0,16
2018-08-24,16,0,16
2018-08-27,16,0,16
2018-08-28,16,0,16
2018-08-29,16,0,16
2018-08-30,16,0,16
2018-08-31,16,0,16
2018-09-03,16,0,16
2018-09-04,16,0,16
2018-09-05,16,0,16
2018-09-06,16,0,16
2018-09-06,16,0,16
2018-09-07,16,0,16
2018-09-10,16,0,16
2018-09-11,16,0,16
2018-09-12,16,0,16
2018-09-13,16,0,16
2018-09-14,16,0,16
2018-09-17,16,0,16
2018-09-19,16,0,16
2018-09-20,16,0,16
2018-09-21,16,0,16
2018-09-21,16,0,16
2018-09-24,16,0,16
2018-09-25,16,0,16
2018-09-26,16,0,16
2018-09-27,16,0,16
2018-09-28,16,0,16
2018-10-01,16,0,16
2018-10-02,16,0,16
2018-10-03,16,0,16
2018-10-04,16,0,16
2018-10-05,16,0,16
2018-10-08,16,0,16
2018-10-09,16,0,16
2018-10-10,16,0,16
2018-10-11,16,0,16
2018-10-12,16,0,16
2018-10-15,16,0,16
2018-10-16,16,0,16
2018-10-17,16,0,16
2018-10-18,16,0,16
2018-10-19,16,0,16
2018-10-22,16,0,16
2018-10-23,16,0,16
2018-10-24,16,0,16
2018-10-25,16,0,16
2018-10-26,16,0,16
2018-10-31,16,0,16
2018-11-01,16,0,16
2018-11-02,16,0,16
2018-11-05,16,0,16
2018-11-06,16,0,16
2018-11-07,16,0,16
2018-11-08,16,0,16
2018-11-09,16,0,16
2018-11-12,16,0,16
2018-11-13,16,0,16
2018-11-14,16,0,16
2018-11-15,16,0,16
2018-11-16,16,0,16
2018-11-19,16,0,16
2018-11-20,16,0,16
2018-11-21,16,0,16
2018-11-22,16,0,16
2018-11-23,16,0,16
2018-11-26,16,0,16
2018-11-27,16,0,16
2018-11-28,16,0,16
2018-11-29,16,0,16
2018-11-30,16,0,16
2018-12-03,16,0,16
2018-12-04,16,0,16
2018-12-05,16,0,16
2018-12-06,16,0,16
2018-12-07,16,0,16
2018-12-10,16,0,16
2018-12-11,16,0,16
2018-12-12,16,0,16
2018-12-13,16,0,16
2018-12-14,16,0,16
2018-12-18,16,0,16
2018-12-19,16,0,16
2018-12-20,16,0,16
2018-12-21,16,0,16
2019-01-01,16,0,16
2019-01-02,16,0,16
2019-01-03,16,0,16
2019-01-04,16,0,16
2019-01-07,16,0,16
2019-01-08,16,0,16
2019-01-09,16,0,16
2019-01-10,16,0,16
2019-01-11,16,0,16
2019-01-14,16,0,16
2019-01-15,16,0,16
2019-01-16,16,0,16
2019-01-17,16,0,16
2019-01-18,16,0,16
2019-01-21,16,0,16
2019-01-22,16,0,16
2019-01-23,16,0,16
2019-01-24,16,0,16
2019-01-25,16,0,16
2019-01-28,16,0,16
2019-01-29,16,0,16
2019-01-30,16,0,16
2019-01-31,16,0,16
2019-02-01,16,0,16
2019-02-04,16,0,16
2019-02-05,16,0,16
2019-02-06,16,0,16
2019-02-07,16,0,16
2019-02-08,16,0,16
2019-02-18,16,0,16
2019-02-19,16,0,16
2019-02-20,16,0,16
2019-02-21,16,0,16
2019-02-22,16,0,16
2019-02-25,16,0,16
2019-02-26,16,0,16
2019-02-27,16,0,16
2019-02-28,16,0,16
2019-03-01,16,0,16
2019-03-04,16,0,16
2019-03-05,16,0,16
2019-03-06,16,0,16
2019-03-07,16,0,16
2019-03-08,16,0,16
2019-03-11,16,0,16
2019-03-12,16,0,16
2019-03-13,16,0,16
2019-03-14,16,0,16
2019-03-15,16,0,16
