Date,Total sources,Sources with issues,Correct sources
2018-11-09,7,1,6
2018-11-12,7,1,6
2018-11-13,7,1,6
2018-11-14,7,1,6
2018-11-15,7,1,6
2018-11-16,7,1,6
2018-11-19,7,1,6
2018-11-20,7,1,6
2018-11-21,7,1,6
2018-11-22,7,1,6
2018-11-23,7,1,6
2018-11-26,7,1,6
2018-11-27,7,1,6
2018-11-28,7,1,6
2018-11-29,7,1,6
2018-11-30,9,2,7
2018-12-03,9,2,7
2018-12-04,9,2,7
2018-12-05,9,2,7
2018-12-06,9,2,7
2018-12-07,9,2,7
2018-12-10,9,2,7
2018-12-11,9,2,7
2018-12-12,9,2,7
2018-12-13,9,2,7
2018-12-14,9,2,7
