Date,Total sources,Sources with issues,Correct sources
2019-04-11,1,0,1
2019-04-12,1,0,1
2019-04-15,1,0,1
2019-04-16,1,0,1
2019-04-17,1,0,1
2019-04-18,1,0,1
2019-04-19,1,0,1
2019-04-23,1,0,1
2019-04-24,1,0,1
2019-04-25,1,0,1
2019-04-26,1,0,1
2019-04-29,1,0,1
2019-04-30,1,0,1
2019-05-01,1,0,1
2019-05-02,1,0,1
2019-05-03,1,0,1
2019-05-06,1,0,1
2019-05-07,1,0,1
2019-05-08,1,0,1
2019-05-09,1,0,1
2019-05-10,1,0,1
2019-05-13,1,0,1
2019-05-14,1,0,1
2019-05-15,1,0,1
2019-05-16,1,0,1
2019-05-17,1,0,1
2019-05-20,1,0,1
2019-05-21,1,0,1
2019-05-22,1,0,1
2019-05-23,1,0,1
2019-05-24,1,0,1
2019-05-27,1,0,1
2019-05-28,1,0,1
2019-05-29,1,0,1
2019-05-30,1,0,1
2019-05-31,1,0,1
2019-06-03,1,0,1
2019-06-04,1,0,1
2019-06-05,1,0,1
2019-06-06,1,0,1
2019-06-07,1,0,1
2019-06-10,1,0,1
2019-06-11,1,0,1
2019-06-12,1,0,1
2019-06-13,1,0,1
2019-06-14,1,0,1
2019-06-17,1,0,1
2019-06-18,1,0,1
2019-06-19,1,0,1
2019-06-20,1,0,1
2019-06-21,1,0,1
2019-06-24,1,0,1
2019-06-25,1,0,1
2019-06-27,1,0,1
2019-06-28,1,0,1
2019-07-08,1,0,1
2019-07-09,1,0,1
2019-07-10,1,0,1
2019-07-11,1,0,1
2019-07-12,1,0,1
2019-07-15,1,0,1
2019-07-16,1,0,1
2019-07-17,1,0,1
2019-07-18,1,0,1
2019-07-19,1,0,1
2019-07-22,1,0,1
2019-07-23,1,0,1
2019-07-24,1,0,1
2019-07-25,1,0,1
2019-07-26,1,0,1
2019-07-29,1,0,1
2019-07-30,1,0,1
2019-07-31,1,0,1
2019-08-01,1,0,1
2019-08-02,1,0,1
2019-08-05,1,0,1
2019-08-06,1,0,1
2019-08-07,1,0,1
2019-08-08,1,0,1
2019-08-09,1,0,1
2019-08-12,1,0,1
2019-08-13,1,0,1
2019-08-14,1,0,1
2019-08-15,1,0,1
2019-08-16,1,0,1
2019-08-26,1,0,1
2019-08-27,1,0,1
2019-08-28,1,0,1
2019-08-29,1,0,1
2019-08-30,1,0,1
2019-09-02,1,0,1
2019-09-03,1,0,1
2019-09-04,1,0,1
2019-09-05,1,0,1
2019-09-06,1,0,1
2019-09-09,1,0,1
2019-09-10,1,0,1
2019-09-11,1,0,1
2019-09-12,1,0,1
2019-09-13,1,0,1
2019-09-16,1,0,1
2019-09-17,1,0,1
2019-09-18,1,0,1
2019-09-19,1,0,1
2019-09-20,2,0,2
2019-09-23,2,0,2
2019-09-24,2,0,2
2019-09-25,2,0,2
2019-09-26,2,0,2
2019-09-27,2,0,2
2019-09-30,2,0,2
2019-10-01,2,0,2
2019-10-03,2,0,2
2019-10-04,2,0,2
2019-10-07,2,0,2
2019-10-08,2,0,2
2019-10-09,2,0,2
2019-10-10,2,0,2
2019-10-11,2,0,2
2019-10-14,2,0,2
2019-10-15,2,0,2
2019-10-18,2,0,2
2019-10-21,2,0,2
2019-10-22,2,0,2
2019-10-23,2,0,2
2019-10-24,2,0,2
2019-10-25,2,0,2
2019-10-28,2,0,2
2019-10-29,2,0,2
2019-10-30,2,0,2
2019-10-31,2,0,2
2019-11-01,2,0,2
2019-11-04,2,0,2
2019-11-05,2,0,2
2019-11-06,2,0,2
2019-11-07,2,0,2
2019-11-08,2,0,2
2019-11-11,2,0,2
2019-11-12,2,0,2
2019-11-13,2,0,2
2019-11-14,2,0,2
2019-11-15,2,0,2
2019-11-18,2,0,2
2019-11-19,2,0,2
2019-11-20,2,0,2
2019-11-21,2,0,2
2019-11-22,2,0,2
2019-11-25,2,0,2
2019-11-26,2,0,2
2019-11-27,2,0,2
2019-11-28,2,0,2
2019-11-29,2,0,2
2019-12-02,2,0,2
2019-12-03,2,0,2
2019-12-05,2,0,2
2019-12-06,2,0,2
2019-12-09,2,0,2
2019-12-10,2,0,2
2019-12-11,2,0,2
2019-12-12,2,0,2
2019-12-13,2,0,2
2019-12-16,2,0,2
2019-12-17,2,0,2
2019-12-18,2,0,2
2019-12-19,2,0,2
2019-12-20,2,0,2
2019-12-23,2,0,2
2019-12-24,2,0,2
2019-12-25,2,0,2
2019-12-30,2,0,2
2019-12-31,2,0,2
2020-01-01,2,0,2
2020-01-02,2,0,2
2020-01-03,2,0,2
2020-01-06,2,0,2
2020-01-07,2,0,2
2020-01-08,2,0,2
2020-01-09,2,0,2
2020-01-10,2,0,2
2020-01-13,2,0,2
2020-01-14,2,0,2
2020-01-15,2,0,2
2020-01-16,2,0,2
2020-01-17,2,0,2
2020-01-20,2,0,2
2020-01-21,2,0,2
2020-01-22,2,0,2
2020-01-23,2,0,2
2020-01-24,2,0,2
2020-01-27,2,0,2
2020-01-28,2,0,2
2020-01-29,2,0,2
2020-01-30,2,0,2
2020-01-31,2,0,2
2020-02-03,2,0,2
2020-02-04,2,0,2
2020-02-05,2,0,2
2020-02-07,2,0,2
