Date,Total sources,Sources with issues,Correct sources
2018-07-18,61,14,47
2018-07-19,61,14,47
2018-07-20,61,14,47
2018-07-23,61,14,47
2018-07-24,61,14,47
2018-07-25,61,14,47
2018-07-26,61,14,47
2018-07-27,61,14,47
2018-07-30,61,14,47
2018-07-31,61,14,47
2018-08-01,61,14,47
2018-08-02,61,14,47
2018-08-03,61,14,47
2018-08-06,61,14,47
2018-08-07,61,14,47
2018-08-08,61,14,47
2018-08-09,61,14,47
2018-08-10,61,14,47
2018-08-13,61,14,47
2018-08-14,61,14,47
2018-08-15,61,14,47
2018-08-17,61,14,47
2018-08-20,61,14,47
2018-08-21,61,14,47
2018-08-22,61,14,47
2018-08-22,61,14,47
2018-08-23,61,14,47
2018-08-24,61,14,47
2018-08-27,61,14,47
2018-08-28,61,14,47
2018-08-29,61,14,47
2018-08-30,61,5,56
2018-08-31,61,5,56
2018-09-03,61,1,60
2018-09-04,61,1,60
2018-09-05,61,1,60
2018-09-06,61,1,60
2018-09-06,60,2,58
2018-09-07,60,2,58
2018-09-10,60,1,59
2018-09-11,60,1,59
2018-09-12,60,1,59
2018-09-13,60,1,59
2018-09-14,60,1,59
2018-09-17,60,1,59
2018-09-19,60,1,59
2018-09-20,60,1,59
2018-09-21,60,1,59
2018-09-21,60,1,59
2018-09-24,60,1,59
2018-09-25,60,1,59
2018-09-26,60,1,59
2018-09-27,60,1,59
2018-09-28,60,1,59
2018-10-01,60,1,59
2018-10-02,60,1,59
2018-10-03,60,1,59
2018-10-04,60,1,59
2018-10-05,60,1,59
2018-10-08,60,1,59
2018-10-09,60,1,59
2018-10-10,60,1,59
2018-10-11,60,1,59
2018-10-12,60,1,59
2018-10-15,60,1,59
2018-10-16,61,1,60
2018-10-17,61,1,60
2018-10-18,61,1,60
2018-10-19,61,1,60
2018-10-22,61,1,60
2018-10-23,61,1,60
2018-10-24,61,1,60
2018-10-25,61,1,60
2018-10-26,61,1,60
2018-10-31,61,1,60
2018-11-01,61,1,60
2018-11-02,61,1,60
2018-11-05,61,1,60
2018-11-06,61,1,60
2018-11-07,61,1,60
2018-11-08,61,1,60
2018-11-09,61,1,60
2018-11-12,61,1,60
2018-11-13,61,1,60
2018-11-14,61,2,59
2018-11-15,61,2,59
2018-11-16,61,1,60
2018-11-19,61,1,60
2018-11-20,61,1,60
2018-11-21,61,1,60
2018-11-22,61,1,60
2018-11-23,61,1,60
2018-11-26,61,1,60
2018-11-27,61,1,60
2018-11-28,61,1,60
2018-11-29,61,1,60
2018-11-30,61,1,60
