Date,Total sources,Sources with issues,Correct sources
2018-07-18,8,2,6
2018-07-19,8,2,6
2018-07-20,8,2,6
2018-07-23,8,2,6
2018-07-24,8,2,6
2018-07-25,8,2,6
2018-07-26,8,2,6
2018-07-27,8,2,6
2018-07-30,8,2,6
2018-07-31,8,2,6
2018-08-01,8,0,8
2018-08-02,8,0,8
2018-08-03,8,0,8
2018-08-06,8,0,8
2018-08-07,8,0,8
2018-08-08,8,0,8
2018-08-09,8,0,8
2018-08-10,8,0,8
2018-08-13,8,0,8
2018-08-14,8,0,8
2018-08-15,8,0,8
2018-08-17,8,0,8
2018-08-20,8,0,8
2018-08-21,8,0,8
2018-08-22,8,0,8
2018-08-22,8,0,8
2018-08-23,8,0,8
2018-08-24,8,0,8
2018-08-27,8,0,8
2018-08-28,8,0,8
2018-08-29,8,0,8
2018-08-30,8,0,8
2018-08-31,8,0,8
2018-09-03,8,0,8
2018-09-04,8,0,8
2018-09-05,8,0,8
2018-09-06,8,0,8
2018-09-06,8,0,8
2018-09-07,8,0,8
2018-09-10,8,0,8
2018-09-11,8,0,8
2018-09-12,8,0,8
2018-09-13,8,0,8
2018-09-14,8,0,8
2018-09-17,8,0,8
2018-09-19,8,0,8
2018-09-20,8,0,8
2018-09-21,8,0,8
2018-09-21,8,0,8
2018-09-24,8,0,8
2018-09-25,8,0,8
2018-09-26,8,0,8
2018-09-27,8,0,8
2018-09-28,8,0,8
2018-10-01,8,0,8
2018-10-02,8,0,8
2018-10-03,8,0,8
2018-10-04,8,0,8
2018-10-05,8,0,8
2018-10-08,8,0,8
2018-10-09,8,0,8
2018-10-10,8,0,8
2018-10-11,8,0,8
2018-10-12,8,0,8
2018-10-15,8,0,8
2018-10-16,8,0,8
2018-10-17,8,0,8
2018-10-18,8,0,8
2018-10-19,8,0,8
2018-10-22,8,0,8
2018-10-23,8,0,8
2018-10-24,8,0,8
2018-10-25,8,0,8
2018-10-26,8,0,8
2018-10-31,8,0,8
2018-11-01,8,0,8
2018-11-02,8,0,8
2018-11-05,8,0,8
2018-11-06,8,0,8
2018-11-07,8,0,8
2018-11-08,8,0,8
2018-11-09,8,0,8
2018-11-12,8,0,8
2018-11-13,8,0,8
2018-11-14,8,0,8
2018-11-15,8,0,8
2018-11-16,8,0,8
2018-11-19,8,0,8
2018-11-20,8,0,8
2018-11-21,8,0,8
2018-11-22,8,0,8
2018-11-23,8,0,8
2018-11-26,8,0,8
2018-11-27,8,0,8
2018-11-28,8,0,8
2018-11-29,8,0,8
2018-11-30,8,0,8
