Date,Total sources,Sources with issues,Correct sources
2018-07-18,163,36,127
2018-07-19,163,36,127
2018-07-20,163,36,127
2018-07-23,161,36,125
2018-07-24,161,36,125
2018-07-25,161,36,125
2018-07-26,161,36,125
2018-07-27,161,36,125
2018-07-30,161,36,125
2018-07-31,162,36,126
2018-08-01,162,36,126
2018-08-02,162,36,126
2018-08-03,162,36,126
2018-08-06,162,36,126
2018-08-07,162,36,126
2018-08-08,162,36,126
2018-08-09,162,36,126
2018-08-10,162,36,126
2018-08-13,162,36,126
2018-08-14,162,36,126
2018-08-15,162,36,126
2018-08-17,162,36,126
2018-08-20,162,36,126
2018-08-21,162,36,126
2018-08-22,162,36,126
2018-08-22,162,36,126
2018-08-23,162,36,126
2018-08-24,162,36,126
2018-08-27,162,36,126
2018-08-28,162,36,126
2018-08-29,162,36,126
2018-08-30,162,36,126
2018-08-31,162,36,126
2018-09-03,162,36,126
2018-09-04,162,36,126
2018-09-05,162,36,126
2018-09-06,162,36,126
2018-09-06,162,36,126
2018-09-07,162,36,126
2018-09-10,162,36,126
2018-09-11,162,36,126
2018-09-12,162,36,126
2018-09-13,162,25,137
2018-09-14,162,16,146
2018-09-17,162,16,146
2018-09-19,162,16,146
2018-09-20,162,15,147
2018-09-21,162,15,147
2018-09-21,162,15,147
2018-09-24,162,15,147
2018-09-25,162,15,147
2018-09-26,162,15,147
2018-09-27,162,15,147
2018-09-28,162,15,147
2018-10-01,162,15,147
2018-10-02,162,15,147
2018-10-03,162,15,147
2018-10-04,162,15,147
2018-10-05,162,15,147
2018-10-08,162,15,147
2018-10-09,162,15,147
2018-10-10,162,15,147
2018-10-11,162,15,147
2018-10-12,162,15,147
2018-10-15,162,15,147
2018-10-16,162,15,147
2018-10-17,162,15,147
2018-10-18,162,15,147
2018-10-19,162,15,147
2018-10-22,162,15,147
2018-10-23,162,15,147
2018-10-24,163,16,147
2018-10-25,163,15,148
2018-10-26,163,15,148
2018-10-31,163,15,148
2018-11-01,163,15,148
2018-11-02,163,15,148
2018-11-05,163,15,148
2018-11-06,163,15,148
2018-11-07,163,15,148
2018-11-08,163,15,148
2018-11-09,163,15,148
2018-11-12,154,15,139
2018-11-13,154,15,139
2018-11-14,154,15,139
2018-11-15,154,15,139
2018-11-16,161,15,146
2018-11-19,161,15,146
2018-11-20,161,15,146
2018-11-21,161,15,146
2018-11-22,161,15,146
2018-11-23,163,15,148
2018-11-26,163,15,148
2018-11-27,158,14,144
2018-11-28,158,14,144
2018-11-29,157,14,143
2018-11-30,157,14,143
2018-12-03,159,14,145
2018-12-04,159,14,145
2018-12-05,158,14,144
2018-12-06,158,14,144
2018-12-07,158,14,144
2018-12-10,158,14,144
2018-12-11,158,14,144
2018-12-12,158,14,144
2018-12-13,158,14,144
2018-12-14,158,14,144
2018-12-18,158,14,144
2018-12-19,158,14,144
2018-12-20,158,14,144
2018-12-21,158,15,143
2019-01-01,161,17,144
2019-01-02,161,17,144
2019-01-03,161,17,144
2019-01-04,162,16,146
2019-01-07,163,16,147
2019-01-08,163,17,146
2019-01-09,163,17,146
2019-01-10,163,17,146
2019-01-11,163,17,146
2019-01-14,165,0,165
2019-01-15,165,0,165
2019-01-16,165,0,165
2019-01-17,165,0,165
2019-01-18,165,0,165
2019-01-21,165,0,165
2019-01-22,165,0,165
2019-01-23,165,0,165
2019-01-24,165,0,165
2019-01-25,165,0,165
2019-01-28,165,0,165
2019-01-29,165,0,165
2019-01-30,165,0,165
2019-01-31,165,0,165
2019-02-01,165,0,165
2019-02-04,165,0,165
2019-02-05,165,0,165
2019-02-06,165,0,165
2019-02-07,165,0,165
2019-02-08,166,0,166
2019-02-18,166,0,166
2019-02-19,166,0,166
2019-02-20,166,0,166
2019-02-21,166,0,166
2019-02-22,166,0,166
