Date,Total sources,Sources with issues,Correct sources
2018-07-17,12,2,10
2018-07-18,12,2,10
2018-07-19,12,2,10
2018-07-20,12,2,10
2018-07-23,12,2,10
2018-07-24,12,2,10
2018-07-25,12,2,10
2018-07-26,12,2,10
2018-07-27,12,2,10
2018-07-30,12,2,10
2018-07-31,12,2,10
2018-08-01,12,2,10
2018-08-02,12,2,10
2018-08-03,12,2,10
2018-08-06,12,2,10
2018-08-07,12,2,10
2018-08-08,12,0,12
2018-08-09,12,0,12
2018-08-10,12,0,12
2018-08-13,12,0,12
2018-08-14,12,0,12
2018-08-15,12,0,12
2018-08-17,12,0,12
2018-08-20,12,0,12
2018-08-21,18,1,17
2018-08-22,18,0,18
2018-08-22,18,0,18
2018-08-23,18,0,18
2018-08-24,18,0,18
2018-08-27,18,0,18
2018-08-28,18,0,18
2018-08-29,18,0,18
2018-08-30,18,0,18
2018-08-31,18,0,18
2018-09-03,18,0,18
2018-09-04,18,0,18
2018-09-05,18,0,18
2018-09-06,18,0,18
2018-09-06,18,0,18
2018-09-07,18,0,18
2018-09-10,18,0,18
2018-09-11,18,0,18
2018-09-12,18,0,18
2018-09-13,18,0,18
2018-09-14,18,0,18
2018-09-17,18,0,18
2018-09-19,16,0,16
2018-09-20,19,0,19
2018-09-21,19,0,19
2018-09-21,19,0,19
2018-09-24,19,0,19
2018-09-25,19,0,19
2018-09-26,19,0,19
2018-09-27,19,0,19
2018-09-28,19,0,19
2018-10-01,19,0,19
2018-10-02,19,0,19
2018-10-03,19,0,19
2018-10-04,19,0,19
2018-10-05,19,0,19
2018-10-08,19,0,19
2018-10-09,19,0,19
2018-10-10,19,0,19
2018-10-11,19,0,19
2018-10-12,19,0,19
2018-10-15,19,0,19
2018-10-16,19,0,19
2018-10-17,19,0,19
2018-10-18,19,0,19
2018-10-19,19,0,19
2018-10-22,19,0,19
2018-10-23,19,0,19
2018-10-24,19,0,19
2018-10-25,19,0,19
2018-10-26,19,0,19
2018-10-31,19,0,19
2018-11-01,19,0,19
2018-11-02,19,0,19
2018-11-05,19,0,19
2018-11-06,19,0,19
2018-11-07,19,0,19
2018-11-08,19,0,19
2018-11-09,19,0,19
2018-11-12,19,0,19
2018-11-13,19,0,19
2018-11-14,19,0,19
2018-11-15,19,0,19
2018-11-16,19,0,19
2018-11-19,19,0,19
2018-11-20,19,0,19
2018-11-21,19,0,19
2018-11-22,19,0,19
2018-11-23,19,0,19
2018-11-26,19,0,19
2018-11-27,19,0,19
2018-11-28,21,0,21
2018-11-29,21,0,21
2018-11-30,21,0,21
2018-12-03,21,0,21
2018-12-04,21,0,21
2018-12-05,21,0,21
2018-12-06,21,0,21
2018-12-07,21,0,21
2018-12-10,21,0,21
2018-12-11,21,0,21
2018-12-12,21,0,21
2018-12-13,21,0,21
2018-12-14,21,0,21
2018-12-18,21,0,21
2018-12-19,21,0,21
2018-12-20,21,0,21
2018-12-21,21,0,21
2019-01-01,22,0,22
2019-01-02,22,0,22
2019-01-03,22,0,22
2019-01-04,22,0,22
2019-01-07,22,0,22
2019-01-08,22,0,22
2019-01-09,22,0,22
2019-01-10,22,0,22
2019-01-11,22,0,22
2019-01-14,22,0,22
2019-01-15,22,0,22
2019-01-16,22,0,22
2019-01-17,22,0,22
2019-01-18,22,0,22
2019-01-21,22,0,22
2019-01-22,22,0,22
2019-01-23,22,0,22
2019-01-24,22,0,22
2019-01-25,22,0,22
2019-01-28,22,0,22
2019-01-29,22,0,22
2019-01-30,22,0,22
2019-01-31,22,0,22
2019-02-01,22,0,22
2019-02-04,22,0,22
2019-02-05,22,0,22
2019-02-06,22,0,22
2019-02-07,22,0,22
2019-02-08,22,0,22
2019-02-18,22,0,22
2019-02-19,22,0,22
2019-02-20,22,0,22
2019-02-21,22,0,22
2019-02-22,22,0,22
