System family,posix
System,Linux
Version,5.0.8-200.fc29.x86_64
Python,3.7
Path to interpret,/usr/bin/python3

Name,Component analysis,Stack analysis,Python payload,Maven payload,NPM payload,Improper payload,Mix payloads,Check responses,Export responses,Comment
heavy,10,10,yes,yes,yes,yes,yes,no,no,set of normal tests

Start time,1557142471.220522
End time,1557142501.8707206
Duration,30.650198698043823

#,Test name,Method,Ecosystem,Package,Version,Manifest,Thread#,Status code,Start time,End time,Duration
1,component_analysis,GET,pypi,six,1.10.0,N/A,0,200,1557142471.221124,1557142471.9043534,0.6832294464111328
2,component_analysis,GET,npm,mocha,5.0.2,N/A,6,200,1557142471.2321904,1557142472.0825603,0.850369930267334
3,component_analysis,GET,maven,io.vertx:vertx-core,3.0.0-milestone3,N/A,8,202,1557142471.235383,1557142472.2893665,1.053983449935913
4,component_analysis,GET,maven,io.vertx:vertx-core,2.1M3,N/A,9,202,1557142471.2368696,1557142472.2897334,1.0528638362884521
5,component_analysis,GET,maven,io.vertx:vertx-core,3.2.1,N/A,4,200,1557142471.2289612,1557142472.5849605,1.355999231338501
6,component_analysis,GET,pypi,flask,0.2,N/A,2,200,1557142471.225202,1557142472.8229961,1.5977940559387207
7,component_analysis,GET,npm,mocha,3.1.0,N/A,7,200,1557142471.2338395,1557142472.8442967,1.610457181930542
8,stack_analysis,POST,npm,N/A,N/A,dependency_to_function_vue_array.json,5,200,1557142471.2488,1557142472.7342103,1.485410213470459
9,stack_analysis,GET,npm,N/A,N/A,dependency_to_function_vue_array.json,5,200,1557142472.7342103,1557142473.5473254,0.813115119934082
10,component_analysis,GET,pypi,flask,0.7.2,N/A,1,200,1557142471.2232883,1557142486.1633973,14.940109014511108
11,stack_analysis,POST,pypi,N/A,N/A,scipy_1_2_0.txt,6,200,1557142471.2510915,1557142472.0056462,0.7545547485351562
12,stack_analysis,GET,pypi,N/A,N/A,scipy_1_2_0.txt,6,200,1557142472.0056462,1557142488.674336,16.668689727783203
13,stack_analysis,POST,pypi,N/A,N/A,array_split.txt,2,200,1557142471.242372,1557142472.149768,0.9073960781097412
14,stack_analysis,GET,pypi,N/A,N/A,array_split.txt,2,200,1557142472.149768,1557142488.7730947,16.623326539993286
15,stack_analysis,POST,pypi,N/A,N/A,pytest_2_0_0.txt,0,200,1557142471.2384243,1557142472.8117712,1.5733468532562256
16,stack_analysis,GET,pypi,N/A,N/A,pytest_2_0_0.txt,0,200,1557142472.8117712,1557142489.089801,16.278029918670654
17,stack_analysis,POST,pypi,N/A,N/A,scipy_1_2_0.txt,4,200,1557142471.2464807,1557142472.7315469,1.4850661754608154
18,stack_analysis,GET,pypi,N/A,N/A,scipy_1_2_0.txt,4,200,1557142472.7315469,1557142489.0949972,16.363450288772583
19,stack_analysis,POST,pypi,N/A,N/A,pygame_latest.txt,1,200,1557142471.240396,1557142472.7338908,1.4934947490692139
20,stack_analysis,GET,pypi,N/A,N/A,pygame_latest.txt,1,200,1557142472.7338908,1557142489.0953116,16.36142086982727
21,stack_analysis,POST,npm,N/A,N/A,dependency_to_function_vue_array.json,7,200,1557142471.2533052,1557142472.9635022,1.7101969718933105
22,stack_analysis,GET,npm,N/A,N/A,dependency_to_function_vue_array.json,7,200,1557142472.9635022,1557142489.2439573,16.280455112457275
23,stack_analysis,POST,npm,N/A,N/A,dependency_to_function.json,3,200,1557142471.2442784,1557142473.1583736,1.914095163345337
24,stack_analysis,GET,npm,N/A,N/A,dependency_to_function.json,3,200,1557142473.1583736,1557142489.3304152,16.172041654586792
25,stack_analysis,POST,npm,N/A,N/A,dependency_react.json,9,200,1557142471.2581475,1557142473.2099981,1.9518506526947021
26,stack_analysis,GET,npm,N/A,N/A,dependency_react.json,9,200,1557142473.2099981,1557142489.5423322,16.33233404159546
27,stack_analysis,POST,npm,N/A,N/A,mocha.json,8,200,1557142471.2557075,1557142476.0823562,4.826648712158203
28,stack_analysis,GET,npm,N/A,N/A,mocha.json,8,200,1557142476.0823562,1557142492.5156748,16.433318614959717
29,component_analysis,GET,npm,jquery,1.11.3,N/A,3,504,1557142471.227083,1557142501.8605533,30.63347029685974
30,component_analysis,GET,npm,jquery,2.1.1-beta1,N/A,5,504,1557142471.2306628,1557142501.8697536,30.63909077644348
